[9],Compound::DB00143,-0.1855190396308899
[11],Compound::DB00502,-0.19982470571994781
[13],Compound::DB06774,-0.2012828141450882
[16],Compound::DB04216,-0.20350725948810577
[17],Compound::DB00783,-0.2035258412361145
[18],Compound::DB09341,-0.20749206840991974
[20],Compound::DB00822,-0.21294096112251282
[21],Compound::DB00640,-0.22600771486759186
[23],Compound::DB01105,-0.2313600331544876
[29],Compound::DB00715,-0.2618947923183441
[31],Compound::DB00907,-0.26803186535835266
[39],Compound::DB01229,-0.28694769740104675
[41],Compound::DB04540,-0.28871235251426697
[43],Compound::DB01016,-0.29204732179641724
[44],Compound::DB02010,-0.2982581555843353
[46],Compound::DB14681,-0.29944318532943726
[48],Compound::DB00321,-0.30107274651527405